UAI,Etablissement,Type,Groupe,PerimEx,Association,Comparable
0510084P,École supérieure d'art et de design de Reims,École,Ecoles d'art et de design,,,TRUE
0762687H,École supérieure d'art et design Le Havre-Rouen,École,Ecoles d'art et de design,,,TRUE
0141432F,École supérieure d'arts et médias de Caen - Cherbourg,École,Ecoles d'art et de design,,,TRUE
0673048Z,Haute école des arts du Rhin,École,Ecoles d'art et de design,,,TRUE
0310144N,Institut supérieur des arts de Toulouse,École,Ecoles d'art et de design,,,TRUE
0631287G,École nationale supérieure d'architecture de Clermont-Ferrand,École,Ecoles d'architecture,,,TRUE
0760164R,École nationale supérieure d'architecture de Normandie,École,Ecoles d'architecture,,,TRUE
0751877H,École nationale supérieure d'architecture de Paris-Belleville,École,Ecoles d'architecture,,,TRUE
0751875F,École nationale supérieure d'architecture de Paris-La Villette,École,Ecoles d'architecture,,,TRUE
0751871B,École nationale supérieure d'architecture de Paris-Malaquais,École,Ecoles d'architecture,,,TRUE
0670186N,École nationale supérieure d'architecture de Strasbourg,École,Ecoles d'architecture,,,TRUE
0310150V,École nationale supérieure d'architecture de Toulouse,École,Ecoles d'architecture,,,TRUE
0780412Z,École nationale supérieure d’architecture de Versailles,École,Ecoles d'architecture,,,TRUE
0753533H,École spéciale d'architecture,École,Ecoles d'architecture,,,TRUE
0753635U,Centre de formation des journalistes,École,Autres écoles spécialisées,,,TRUE
0312561R,"Centre de ressources, d'expertise et de performance sportives de Toulouse",École,Autres écoles spécialisées,,,TRUE
0754493B,Institut de management et de communication interculturels,École,Autres écoles spécialisées,,,TRUE
0492062A,Institut des relations publiques et de la communication d’Angers,École,Autres écoles spécialisées,,,TRUE
0754566F,Institut français de la mode,École,Autres écoles spécialisées,,,TRUE
0753605L,Institut protestant de théologie,École,Autres écoles spécialisées,,,TRUE
0511556P,Institut régional du travail social de Champagne-Ardennes,École,Autres écoles spécialisées,,,TRUE
0783690M,"Institut supérieur international du parfum, de la cosmétique et de l'aromatique alimentaire",École,Autres écoles spécialisées,,,TRUE
0752744A,Académie des sciences d'outre-mer,Autre établissement,Autres,,,TRUE
0341920C,Agence bibliographique de l'enseignement supérieur,Autre établissement,Autres,,,TRUE
0671451N,Bibliothèque nationale et universitaire de Strasbourg,Autre établissement,Autres,,,TRUE
0755040W,Bibliothèque universitaire des langues et civilisations,Autre établissement,Autres,,,TRUE
0342032Z,Centre informatique national de l'enseignement supérieur,Autre établissement,Autres,,,TRUE
0772428W,Centre technique du livre de l'enseignement supérieur,Autre établissement,Autres,,,TRUE
0060099A,Observatoire de la Côte d'Azur,Autre établissement,Autres,,,TRUE
